inhibition_T0,shifting_T0,memory_T0,id
0.108782023,-0.082010337,0.041723841,1
0.239598331,-0.032017883,0.0267685,2
0.265707485,-0.054090315,0.030767558,3
0.233593426,-0.054839502,0.032134261,4
-0.612472858,0.096992153,-0.077182589,5
0.242592956,0.065956906,-0.001375914,6
-0.044950496,0.02364445,-0.015008092,7
-0.403470924,0.015219559,-0.024949036,8
0.040819975,-0.075281925,0.034564637,9
-0.090842261,0.071148157,-0.028686071,10
-0.440571165,0.045935466,-0.04206436,11
0.404176758,-0.049060198,0.038102307,12
-0.030500127,0.0210185,-0.007229555,13
-0.295292915,0.032039375,-0.024187422,14
0.058864419,-0.057341098,0.025183195,15
0.086362898,0.045614925,-0.019494439,16
0.248244738,-0.049273846,0.033892158,17
-0.429450042,0.079217126,-0.04763314,18
0.144960982,0.012059153,0.012647316,19
-0.015215671,0.066776447,-0.029508053,20
0.018448374,-0.016433397,0.013468348,21
0.327904532,-0.06567599,0.040739352,22
0.115223007,-0.051828932,0.02029857,23
0.218438929,-0.028834941,0.021664243,24
-0.069147105,-0.014201505,0.004564294,25
-0.28221925,0.073543529,-0.040248126,26
0.214804107,-0.006482785,0.013731958,27
-0.391812273,0.077518948,-0.053235866,28
0.199875382,-0.023170416,0.021944134,29
0.191019577,0.005300494,0.014976201,30
-0.054574868,-0.041261334,0.010941531,31
-0.063699302,-0.001898684,-0.001919074,32
-0.179509488,0.119527238,-0.045491644,33
0.077112823,0.000622363,0.003661561,34
-0.242206167,-0.003677854,-0.021577871,35
-0.439290002,0.053583944,-0.046924462,36
-0.571022032,0.081640059,-0.057259472,37
-0.245157129,-9.21E-05,-0.01889246,38
-0.371459332,-0.003272852,-0.022598352,39
-0.049673675,0.018800527,-0.006701732,40
-0.474535566,0.072293052,-0.06186787,41
0.1242072,-0.022741402,0.008617411,42
-0.106421194,0.010429658,-0.006045505,43
-0.180999321,0.008249626,-0.017947839,44
0.089218709,-0.043238965,0.009056571,45
0.096319468,0.04524947,-0.009902577,46
0.187727477,-0.033913721,0.02690112,47
-0.227917064,0.094518664,-0.04916892,48
-0.408952314,0.098703403,-0.053300561,49
-0.236915285,0.059434234,-0.03036825,50
0.0038672,-0.000185465,2.81E-05,51
-0.21180966,0.040391588,-0.031277947,52
0.182429745,-0.048289259,0.035168926,53
-0.139927708,-0.014565575,0.000800859,54
0.326185834,-0.007650837,0.018168447,55
0.257487327,-0.060128654,0.040318039,56
-0.097479282,-0.048660017,0.019438016,57
-0.237330943,0.067295235,-0.039372876,58
-0.429091616,0.029933372,-0.036237615,59
